style,source_stem,candidate_strength,decision,objective_gate,objective_reasons,perceptual_gate,human_preference,human_notes,priority,bucket,reference_match,candidate_match,match_delta,reference_wer,candidate_wer,wer_delta,reference_mos_delta,candidate_mos_delta,mos_delta_delta,reference_novelty,candidate_novelty,novelty_delta,quality_risk,severe_risk,reference_tag,candidate_tag,reference_audio,candidate_audio
anger,cremad_1076,10,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,tie_or_minor_change,0,0,0,0.0000,0.0000,0.0000,0.0197,0.0371,0.0174,0.2971,0.3226,0.0255,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1076_anger.wav
anger,female_2_cremad_1012,10,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,0,0,0,0.2000,0.2000,0.0000,0.0660,0.0451,-0.0209,0.2978,0.3439,0.0461,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_2_cremad_1012_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/female_2_cremad_1012_anger.wav
anger,male_1_cremad_1003,10,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,0,0,0,0.0000,0.0000,0.0000,-0.0055,-0.0740,-0.0685,0.2287,0.2984,0.0697,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_1_cremad_1003_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/male_1_cremad_1003_anger.wav
anger,male_2_cremad_1051,10,reject_no_target_gain,fail,no_target_gain;quality_risk;candidate_wer;novelty_delta,unreviewed,unreviewed,,3,tie_or_minor_change,0,0,0,0.7500,0.7500,0.0000,-0.0221,-0.0023,0.0198,0.2591,0.2231,-0.0360,1,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_2_cremad_1051_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/male_2_cremad_1051_anger.wav
disgust,cremad_1006,10,reject_no_target_gain,fail,no_target_gain;mos_delta_drop,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,0,0,0,0.0000,0.0000,0.0000,0.0288,-0.6298,-0.6586,0.2396,0.2933,0.0537,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1006_disgust.wav
disgust,cremad_1007,10,reject_no_target_gain,fail,no_target_gain;quality_risk;candidate_wer,unreviewed,unreviewed,,3,tie_or_minor_change,0,0,0,0.3750,0.5000,0.1250,0.0735,-0.0707,-0.1442,0.1234,0.2336,0.1102,1,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1007_disgust.wav
disgust,cremad_1045,10,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,0,0,0,0.1429,0.1429,0.0000,0.0398,-0.0874,-0.1272,0.1245,0.2037,0.0792,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1045_disgust.wav
disgust,cremad_1076,10,reject_no_target_gain,fail,no_target_gain;candidate_wer;wer_delta,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,0,0,0,0.0000,0.4286,0.4286,0.0497,-0.0381,-0.0878,0.2780,0.4060,0.1280,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1076_disgust.wav
disgust,female_1_cremad_1002,10,reject_no_target_gain,fail,no_target_gain;wer_delta,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,0,0,0,0.0000,0.2500,0.2500,0.0112,0.0086,-0.0026,0.2858,0.3382,0.0524,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/female_1_cremad_1002_disgust.wav
disgust,male_1_cremad_1003,10,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,0,0,0,0.0000,0.0000,0.0000,-0.4472,-0.1828,0.2644,0.2799,0.3896,0.1097,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_1_cremad_1003_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/male_1_cremad_1003_disgust.wav
fear,cremad_1006,7.5,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,0,0,0,0.0000,0.0000,0.0000,0.0250,0.0368,0.0118,0.3373,0.3716,0.0343,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1006_fear.wav
fear,cremad_1007,7.5,reject_no_target_gain,fail,no_target_gain;quality_risk;candidate_wer,unreviewed,unreviewed,,3,tie_or_minor_change,0,0,0,0.5000,0.6250,0.1250,0.0805,0.0543,-0.0262,0.3855,0.4198,0.0343,1,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1007_fear.wav
fear,cremad_1023,7.5,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,1,1,0,0.3571,0.0714,-0.2857,0.0185,0.0293,0.0108,0.3025,0.3731,0.0706,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1023_fear.wav
fear,cremad_1045,7.5,reject_no_target_gain,fail,no_target_gain;quality_risk;candidate_wer,unreviewed,unreviewed,,3,tie_or_minor_change,0,0,0,0.5000,0.6429,0.1429,0.0230,-0.0215,-0.0445,0.3562,0.4219,0.0657,1,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1045_fear.wav
fear,male_2_cremad_1051,7.5,reject_no_target_gain,fail,no_target_gain;quality_risk;candidate_wer;candidate_mos_delta,unreviewed,unreviewed,,3,tie_or_minor_change,0,0,0,0.7500,0.7500,0.0000,-0.9255,-0.9444,-0.0189,0.3157,0.3687,0.0530,1,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_2_cremad_1051_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/male_2_cremad_1051_fear.wav
disgust,cremad_1003,10,reject_no_target_gain,fail,no_target_gain;severe_risk;quality_risk;candidate_mos_delta;mos_delta_drop,unreviewed,unreviewed,,4,metric_trap,1,1,0,0.0000,0.0000,0.0000,-0.8321,-2.4525,-1.6204,0.2665,0.3479,0.0814,1,1,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1003_disgust.wav
disgust,cremad_1004,10,reject_no_target_gain,fail,no_target_gain;severe_risk;quality_risk;candidate_mos_delta;mos_delta_drop,unreviewed,unreviewed,,4,metric_trap,1,1,0,0.0000,0.0000,0.0000,-0.0744,-1.1260,-1.0516,0.2893,0.3545,0.0652,1,1,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1004_disgust.wav
disgust,cremad_1023,10,reject_no_target_gain,fail,no_target_gain;quality_risk;candidate_wer;wer_delta,unreviewed,unreviewed,,4,metric_trap,0,0,0,0.2143,0.6429,0.4286,0.0150,-0.0094,-0.0244,0.1672,0.2281,0.0609,1,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1023_disgust.wav
disgust,female_2_cremad_1012,10,reject_no_target_gain,fail,no_target_gain;severe_risk;quality_risk;candidate_wer;wer_delta;candidate_mos_delta,unreviewed,unreviewed,,4,metric_trap,0,0,0,0.2000,0.4000,0.2000,-1.2828,-1.4189,-0.1361,0.3413,0.4350,0.0937,1,1,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_2_cremad_1012_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/female_2_cremad_1012_disgust.wav
disgust,male_2_cremad_1051,10,reject_no_target_gain,fail,no_target_gain;quality_risk;candidate_wer;mos_delta_drop,unreviewed,unreviewed,,4,metric_trap,0,0,0,0.7500,0.7500,0.0000,-0.1281,-0.6360,-0.5079,0.1303,0.2066,0.0763,1,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_2_cremad_1051_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/male_2_cremad_1051_disgust.wav
fear,cremad_1004,7.5,reject_no_target_gain,fail,no_target_gain;quality_risk;candidate_wer;wer_delta,unreviewed,unreviewed,,4,metric_trap,1,1,0,0.1429,0.5714,0.4285,-0.0821,0.0002,0.0823,0.4328,0.4901,0.0573,1,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1004_fear.wav
fear,cremad_1076,7.5,reject_no_target_gain,fail,no_target_gain;severe_risk;quality_risk;candidate_wer;wer_delta,unreviewed,unreviewed,,4,metric_trap,1,1,0,0.0000,1.0000,1.0000,-0.0232,-0.1032,-0.0800,0.2933,0.4088,0.1155,1,1,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1076_fear.wav
fear,female_2_cremad_1012,7.5,reject_no_target_gain,fail,no_target_gain;severe_risk;quality_risk;candidate_mos_delta,unreviewed,unreviewed,,4,metric_trap,0,0,0,0.2000,0.2000,0.0000,-1.2691,-1.2605,0.0086,0.3333,0.4132,0.0799,1,1,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_2_cremad_1012_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/female_2_cremad_1012_fear.wav
