source_stem,style,reference_tag,candidate_tag,reference_audio,candidate_audio,prefer_reference_or_candidate,reference_target_match_1_5,candidate_target_match_1_5,reference_intelligibility_1_5,candidate_intelligibility_1_5,reference_naturalness_1_5,candidate_naturalness_1_5,reference_identity_shift_1_5,candidate_identity_shift_1_5,notes
male_2_cremad_1051,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_2_cremad_1051_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/male_2_cremad_1051_anger.wav,,,,,,,,,,
cremad_1003,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1003_disgust.wav,,,,,,,,,,
cremad_1004,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1004_disgust.wav,,,,,,,,,,
cremad_1006,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1006_disgust.wav,,,,,,,,,,
cremad_1007,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1007_disgust.wav,,,,,,,,,,
cremad_1023,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1023_disgust.wav,,,,,,,,,,
cremad_1045,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1045_disgust.wav,,,,,,,,,,
cremad_1076,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/cremad_1076_disgust.wav,,,,,,,,,,
female_1_cremad_1002,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/female_1_cremad_1002_disgust.wav,,,,,,,,,,
female_2_cremad_1012,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_2_cremad_1012_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/female_2_cremad_1012_disgust.wav,,,,,,,,,,
male_1_cremad_1003,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_1_cremad_1003_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/male_1_cremad_1003_disgust.wav,,,,,,,,,,
male_2_cremad_1051,disgust,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_disgust_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_2_cremad_1051_disgust.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_disgust_s10/male_2_cremad_1051_disgust.wav,,,,,,,,,,
cremad_1003,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1003_fear.wav,,,,,,,,,,
cremad_1004,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1004_fear.wav,,,,,,,,,,
cremad_1006,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1006_fear.wav,,,,,,,,,,
cremad_1007,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1007_fear.wav,,,,,,,,,,
cremad_1023,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1023_fear.wav,,,,,,,,,,
cremad_1045,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1045_fear.wav,,,,,,,,,,
cremad_1076,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1076_fear.wav,,,,,,,,,,
female_1_cremad_1002,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/female_1_cremad_1002_fear.wav,,,,,,,,,,
female_2_cremad_1012,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_2_cremad_1012_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/female_2_cremad_1012_fear.wav,,,,,,,,,,
male_1_cremad_1003,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_1_cremad_1003_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/male_1_cremad_1003_fear.wav,,,,,,,,,,
male_2_cremad_1051,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_2_cremad_1051_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/male_2_cremad_1051_fear.wav,,,,,,,,,,
